"Apart from a moderately elevated Gamma-GT, normal liver enzymes where ""moderately elevated Gamma-GT""  is a (Finding) and ""moderately elevated"" is a (Severity Qualifier) and ""Gamma-GT"" is (Substance); ""normal liver enzymes"" is a (Finding) and ""normal"" is a (Severity Qualifier) and ""liver enzymes"" is (Substance)"
"The patient exhibited a mildly increased GGT and elevated AST, while remaining within normal limits for total protein where ""mildly increased GGT"" is a (Finding) and ""mildly increased"" a (Severity Qualifier) and ""GGT"" a (Substance); ""elevated AST"" is a (Finding) and ""elevated"" a (Severity Qualifier) and ""AST"" a (Substance);  ""normal limits for total protein"" is (Finding) and ""normal"" is (Severity Qualifier) and ""protein"" is (Substance)"
"Marked increase in alkaline phosphatase and severe leukocytosis, alongside normal liver function tests where ""increase in alkaline phosphatase"" is a (Finding) and ""increase"" a (Severity Qualifier) and ""alkaline phosphatase"" a (Substance);  ""severe leukocytosis"" is (Finding) and ""severe"" a (Severity Qualifier); ""normal liver function tests"" is (Finding) and ""normal"" is (Severity Qualifier)"
"Mild hyperglycemia and elevated HbA1c levels were found where ""mild hyperglycemia"" is a (Finding) and ""mild"" a (Severity Qualifier); ""elevated HbA1c levels"" is (Finding) and ""elevated"" a (Severity Qualifier) and ""HbA1c"" a (Substance)"
"Demonstrated a mildly elevated C-reactive protein and normal erythrocyte sedimentation rate where ""mildly elevated C-reactive protein"" is a (Finding) and ""mildly elevated"" a (Severity Qualifier) and ""C-reactive protein"" a (Substance); ""normal erythrocyte sedimentation rate"" is (Finding) and ""normal"" a (Severity Qualifier)"
"Chest X-ray results showed mild pleural effusion and normal lung fields where ""mild pleural effusion"" is a (Finding) and ""mild"" a (Severity Qualifier); ""normal lung fields"" is (Finding) and ""normal"" a (Severity Qualifier)"
"Elevated blood glucose levels, showing signs of possible diabetes, with normal hemoglobin A1c where ""elevated blood glucose levels"" is a (Finding) and ""elevated"" a (Severity Qualifier); ""possible diabetes"" is a (Finding) and ""possible"" a (Contextual Qualifier); ""normal hemoglobin A1c"" a (Finding) and ""normal"" a (Severity Qualifier) and ""hemoglobin A1c"" a (Substance)"
"Notably, there was a moderately increased bilirubin level, yet all other liver enzymes were normal where ""moderately increased bilirubin level"" is (Finding) and ""moderately increased"" a (Severity Qualifier); ""normal liver enzymes"" a (Finding) and ""normal"" a (Severity Qualifier) and ""liver enzymes"" is (Substance)"
"In addition to elevated alkaline phosphatase levels, the patient showed normal creatinine clearance where ""elevated alkaline phosphatase levels"" is (Finding) and ""elevated"" a (Severity Qualifier) and ""alkaline phosphatase levels"" a (Substance); ""normal creatinine clearance"" a (Finding) and ""normal"" a (Severity Qualifier)"
"Besides elevated bilirubin and transaminases, all coagulation parameters were normal where ""elevated bilirubin"" is (Finding) and ""elevated"" a (Severity Qualifier); and ""elevated transaminases"" is (Finding) and ""elevated"" a (Severity Qualifier); ""all coagulation parameters were normal"" is a (Finding) and ""normal"" a (Severity Qualifier)"
